Source	Target	Type	Confidence	Rule_ID	Quality_Tier	Meets_Original_Threshold
X276_RS03090	X276_RS00105	activation	1.000	X276_RS00105_rule_2	high	True
X276_RS00920	X276_RS00105	activation	1.000	X276_RS00105_rule_2	high	True
X276_RS01645	X276_RS00105	activation	1.000	X276_RS00105_rule_3	high	True
X276_RS00945	X276_RS00105	activation	1.000	X276_RS00105_rule_3	high	True
X276_RS15720	X276_RS00110	activation	1.000	X276_RS00110_rule_1	high	True
X276_RS15720	X276_RS00110	activation	1.000	X276_RS00110_rule_1	high	True
X276_RS15720	X276_RS00110	activation	1.000	X276_RS00110_rule_1	high	True
X276_RS08725	X276_RS00115	activation	1.000	X276_RS00115_rule_1	high	True
X276_RS07365	X276_RS00115	activation	1.000	X276_RS00115_rule_2	high	True
X276_RS00475	X276_RS00115	activation	1.000	X276_RS00115_rule_3	high	True
X276_RS00435	X276_RS00120	activation	0.947	X276_RS00120_rule_1	high	True
X276_RS03365	X276_RS00120	activation	0.947	X276_RS00120_rule_2	high	True
X276_RS00390	X276_RS00120	activation	0.947	X276_RS00120_rule_3	high	True
X276_RS00330	X276_RS00125	activation	1.000	X276_RS00125_rule_1	high	True
X276_RS05965	X276_RS00125	activation	1.000	X276_RS00125_rule_1	high	True
X276_RS05975	X276_RS00125	activation	1.000	X276_RS00125_rule_2	high	True
X276_RS00330	X276_RS00125	activation	1.000	X276_RS00125_rule_2	high	True
X276_RS00330	X276_RS00125	activation	1.000	X276_RS00125_rule_3	high	True
X276_RS05965	X276_RS00125	activation	1.000	X276_RS00125_rule_3	high	True
X276_RS25955	X276_RS00130	activation	0.947	X276_RS00130_rule_1	high	True
X276_RS04385	X276_RS00130	activation	0.947	X276_RS00130_rule_2	high	True
X276_RS07255	X276_RS00130	activation	0.947	X276_RS00130_rule_3	high	True
X276_RS26010	X276_RS00135	activation	0.923	X276_RS00135_rule_1	high	True
X276_RS09235	X276_RS00135	inhibition	0.923	X276_RS00135_rule_1	high	True
X276_RS20420	X276_RS00135	activation	0.923	X276_RS00135_rule_1	high	True
X276_RS27330	X276_RS00135	activation	0.923	X276_RS00135_rule_2	high	True
X276_RS09235	X276_RS00135	inhibition	0.923	X276_RS00135_rule_2	high	True
X276_RS20420	X276_RS00135	activation	0.923	X276_RS00135_rule_2	high	True
X276_RS09235	X276_RS00135	inhibition	0.923	X276_RS00135_rule_3	high	True
X276_RS26475	X276_RS00135	activation	0.923	X276_RS00135_rule_3	high	True
X276_RS20420	X276_RS00135	activation	0.923	X276_RS00135_rule_3	high	True
X276_RS08205	X276_RS00140	activation	0.941	X276_RS00140_rule_1	high	True
X276_RS05030	X276_RS00140	activation	0.941	X276_RS00140_rule_2	high	True
X276_RS08205	X276_RS00140	activation	0.941	X276_RS00140_rule_1	high	True
X276_RS01045	X276_RS00145	activation	0.947	X276_RS00145_rule_1	high	True
X276_RS00225	X276_RS00145	activation	0.947	X276_RS00145_rule_2	high	True
X276_RS01045	X276_RS00145	activation	0.947	X276_RS00145_rule_1	high	True
X276_RS04440	X276_RS00150	activation	0.933	X276_RS00150_rule_1	high	True
X276_RS08640	X276_RS00150	activation	0.933	X276_RS00150_rule_2	high	True
X276_RS13930	X276_RS00150	activation	0.933	X276_RS00150_rule_3	high	True
X276_RS05075	X276_RS00155	activation	1.000	X276_RS00155_rule_1	high	True
X276_RS00770	X276_RS00155	activation	1.000	X276_RS00155_rule_2	high	True
X276_RS05250	X276_RS00155	activation	1.000	X276_RS00155_rule_3	high	True
X276_RS00390	X276_RS00160	activation	1.000	X276_RS00160_rule_1	high	True
X276_RS01460	X276_RS00160	activation	1.000	X276_RS00160_rule_1	high	True
X276_RS00435	X276_RS00160	activation	1.000	X276_RS00160_rule_2	high	True
X276_RS01460	X276_RS00160	activation	1.000	X276_RS00160_rule_2	high	True
X276_RS00435	X276_RS00160	activation	1.000	X276_RS00160_rule_2	high	True
X276_RS01460	X276_RS00160	activation	1.000	X276_RS00160_rule_2	high	True
X276_RS00350	X276_RS00165	activation	0.941	X276_RS00165_rule_1	high	True
X276_RS00350	X276_RS00165	activation	0.941	X276_RS00165_rule_1	high	True
X276_RS00350	X276_RS00165	activation	0.941	X276_RS00165_rule_1	high	True
X276_RS00465	X276_RS00170	activation	1.000	X276_RS00170_rule_1	high	True
X276_RS26310	X276_RS00170	activation	1.000	X276_RS00170_rule_2	high	True
X276_RS26930	X276_RS00170	activation	1.000	X276_RS00170_rule_3	high	True
X276_RS01255	X276_RS00175	activation	0.933	X276_RS00175_rule_1	high	True
X276_RS27170	X276_RS00175	activation	0.933	X276_RS00175_rule_1	high	True
X276_RS01030	X276_RS00175	inhibition	0.933	X276_RS00175_rule_1	high	True
X276_RS04405	X276_RS00175	activation	0.933	X276_RS00175_rule_2	high	True
X276_RS27170	X276_RS00175	activation	0.933	X276_RS00175_rule_2	high	True
X276_RS01030	X276_RS00175	inhibition	0.933	X276_RS00175_rule_2	high	True
X276_RS00955	X276_RS00175	inhibition	0.933	X276_RS00175_rule_3	high	True
X276_RS01255	X276_RS00175	activation	0.933	X276_RS00175_rule_3	high	True
X276_RS27170	X276_RS00175	activation	0.933	X276_RS00175_rule_3	high	True
X276_RS04060	X276_RS00180	activation	1.000	X276_RS00180_rule_1	high	True
X276_RS04020	X276_RS00180	activation	1.000	X276_RS00180_rule_2	high	True
X276_RS01510	X276_RS00180	activation	1.000	X276_RS00180_rule_3	high	True
X276_RS03880	X276_RS00185	activation	1.000	X276_RS00185_rule_1	high	True
X276_RS25960	X276_RS00185	activation	1.000	X276_RS00185_rule_1	high	True
X276_RS03880	X276_RS00185	activation	1.000	X276_RS00185_rule_2	high	True
X276_RS08355	X276_RS00185	activation	1.000	X276_RS00185_rule_2	high	True
X276_RS03555	X276_RS00185	activation	1.000	X276_RS00185_rule_3	high	True
X276_RS25960	X276_RS00185	activation	1.000	X276_RS00185_rule_3	high	True
X276_RS25940	X276_RS00190	activation	1.000	X276_RS00190_rule_1	high	True
X276_RS02135	X276_RS00190	activation	1.000	X276_RS00190_rule_2	high	True
X276_RS06030	X276_RS00190	activation	1.000	X276_RS00190_rule_3	high	True
X276_RS00335	X276_RS00195	activation	1.000	X276_RS00195_rule_1	high	True
X276_RS16975	X276_RS00195	activation	1.000	X276_RS00195_rule_1	high	True
X276_RS00335	X276_RS00195	activation	1.000	X276_RS00195_rule_2	high	True
X276_RS00620	X276_RS00195	activation	1.000	X276_RS00195_rule_2	high	True
X276_RS00335	X276_RS00195	activation	1.000	X276_RS00195_rule_3	high	True
X276_RS04105	X276_RS00195	activation	1.000	X276_RS00195_rule_3	high	True
X276_RS25130	X276_RS00200	activation	0.933	X276_RS00200_rule_1	high	True
X276_RS25125	X276_RS00200	activation	0.933	X276_RS00200_rule_2	high	True
X276_RS01465	X276_RS00200	activation	0.933	X276_RS00200_rule_3	high	True
X276_RS04980	X276_RS00205	activation	0.947	X276_RS00205_rule_1	high	True
X276_RS02430	X276_RS00205	activation	0.947	X276_RS00205_rule_2	high	True
X276_RS04980	X276_RS00205	activation	0.947	X276_RS00205_rule_1	high	True
X276_RS26905	X276_RS00210	activation	1.000	X276_RS00210_rule_1	high	True
X276_RS01245	X276_RS00210	activation	1.000	X276_RS00210_rule_1	high	True
X276_RS26905	X276_RS00210	activation	1.000	X276_RS00210_rule_2	high	True
X276_RS13465	X276_RS00210	activation	1.000	X276_RS00210_rule_2	high	True
X276_RS26905	X276_RS00210	activation	1.000	X276_RS00210_rule_3	high	True
X276_RS00285	X276_RS00210	activation	1.000	X276_RS00210_rule_3	high	True
X276_RS15315	X276_RS00215	activation	1.000	X276_RS00215_rule_1	high	True
X276_RS05895	X276_RS00215	activation	1.000	X276_RS00215_rule_2	high	True
X276_RS27110	X276_RS00215	activation	1.000	X276_RS00215_rule_3	high	True
X276_RS06175	X276_RS00220	activation	1.000	X276_RS00220_rule_1	high	True
X276_RS02240	X276_RS00220	activation	1.000	X276_RS00220_rule_2	high	True
X276_RS06175	X276_RS00220	activation	1.000	X276_RS00220_rule_1	high	True
X276_RS01045	X276_RS00225	activation	1.000	X276_RS00225_rule_1	high	True
X276_RS01045	X276_RS00225	activation	1.000	X276_RS00225_rule_1	high	True
X276_RS01045	X276_RS00225	activation	1.000	X276_RS00225_rule_1	high	True
X276_RS09930	X276_RS00230	activation	1.000	X276_RS00230_rule_1	high	True
X276_RS00530	X276_RS00230	activation	1.000	X276_RS00230_rule_2	high	True
X276_RS09345	X276_RS00230	activation	1.000	X276_RS00230_rule_3	high	True
X276_RS04450	X276_RS00235	activation	1.000	X276_RS00235_rule_1	high	True
X276_RS04485	X276_RS00235	activation	1.000	X276_RS00235_rule_2	high	True
X276_RS04545	X276_RS00235	activation	1.000	X276_RS00235_rule_3	high	True
X276_RS04450	X276_RS00240	activation	1.000	X276_RS00240_rule_1	high	True
X276_RS04485	X276_RS00240	activation	1.000	X276_RS00240_rule_2	high	True
X276_RS04545	X276_RS00240	activation	1.000	X276_RS00240_rule_3	high	True
X276_RS03970	X276_RS00245	activation	1.000	X276_RS00245_rule_1	high	True
X276_RS03970	X276_RS00245	activation	1.000	X276_RS00245_rule_1	high	True
X276_RS03970	X276_RS00245	activation	1.000	X276_RS00245_rule_1	high	True
X276_RS00115	X276_RS00250	activation	1.000	X276_RS00250_rule_1	high	True
X276_RS08725	X276_RS00250	activation	1.000	X276_RS00250_rule_2	high	True
X276_RS00475	X276_RS00250	activation	1.000	X276_RS00250_rule_3	high	True
X276_RS00300	X276_RS00255	activation	1.000	X276_RS00255_rule_1	high	True
X276_RS25370	X276_RS00255	activation	1.000	X276_RS00255_rule_2	high	True
X276_RS21900	X276_RS00255	activation	1.000	X276_RS00255_rule_3	high	True
X276_RS17675	X276_RS00260	activation	1.000	X276_RS00260_rule_1	high	True
X276_RS05180	X276_RS00260	activation	1.000	X276_RS00260_rule_2	high	True
X276_RS05230	X276_RS00260	activation	1.000	X276_RS00260_rule_3	high	True
X276_RS26960	X276_RS00265	activation	1.000	X276_RS00265_rule_1	high	True
X276_RS07350	X276_RS00265	activation	1.000	X276_RS00265_rule_2	high	True
X276_RS02110	X276_RS00265	activation	1.000	X276_RS00265_rule_3	high	True
X276_RS02915	X276_RS00270	activation	1.000	X276_RS00270_rule_1	high	True
X276_RS27080	X276_RS00270	activation	1.000	X276_RS00270_rule_1	high	True
X276_RS27080	X276_RS00270	activation	1.000	X276_RS00270_rule_2	high	True
X276_RS27075	X276_RS00270	activation	1.000	X276_RS00270_rule_2	high	True
X276_RS27055	X276_RS00270	activation	1.000	X276_RS00270_rule_3	high	True
X276_RS27080	X276_RS00270	activation	1.000	X276_RS00270_rule_3	high	True
X276_RS26430	X276_RS00280	activation	0.941	X276_RS00280_rule_1	high	True
X276_RS26430	X276_RS00280	activation	0.941	X276_RS00280_rule_2	high	True
X276_RS13650	X276_RS00280	inhibition	0.941	X276_RS00280_rule_2	high	True
X276_RS26430	X276_RS00280	activation	0.941	X276_RS00280_rule_3	high	True
X276_RS27295	X276_RS00280	inhibition	0.941	X276_RS00280_rule_3	high	True
X276_RS03315	X276_RS00285	activation	1.000	X276_RS00285_rule_1	high	True
X276_RS06365	X276_RS00285	activation	1.000	X276_RS00285_rule_2	high	True
X276_RS01245	X276_RS00285	activation	1.000	X276_RS00285_rule_3	high	True
X276_RS04335	X276_RS00290	activation	0.947	X276_RS00290_rule_1	high	True
X276_RS04335	X276_RS00290	activation	0.947	X276_RS00290_rule_1	high	True
X276_RS04335	X276_RS00290	activation	0.947	X276_RS00290_rule_1	high	True
X276_RS18375	X276_RS00295	activation	0.941	X276_RS00295_rule_1	high	True
X276_RS18375	X276_RS00295	activation	0.941	X276_RS00295_rule_1	high	True
X276_RS18375	X276_RS00295	activation	0.941	X276_RS00295_rule_1	high	True
X276_RS00255	X276_RS00300	activation	1.000	X276_RS00300_rule_1	high	True
X276_RS25370	X276_RS00300	activation	1.000	X276_RS00300_rule_2	high	True
X276_RS21900	X276_RS00300	activation	1.000	X276_RS00300_rule_3	high	True
X276_RS07845	X276_RS00305	activation	0.947	X276_RS00305_rule_1	high	True
X276_RS11445	X276_RS00305	activation	0.947	X276_RS00305_rule_2	high	True
X276_RS02985	X276_RS00305	activation	0.947	X276_RS00305_rule_3	high	True
X276_RS07065	X276_RS00310	activation	1.000	X276_RS00310_rule_1	high	True
X276_RS01790	X276_RS00310	activation	1.000	X276_RS00310_rule_1	high	True
X276_RS06325	X276_RS00310	activation	1.000	X276_RS00310_rule_2	high	True
X276_RS07065	X276_RS00310	activation	1.000	X276_RS00310_rule_2	high	True
X276_RS04310	X276_RS00310	activation	1.000	X276_RS00310_rule_3	high	True
X276_RS07065	X276_RS00310	activation	1.000	X276_RS00310_rule_3	high	True
X276_RS26175	X276_RS00315	activation	1.000	X276_RS00315_rule_1	high	True
X276_RS26905	X276_RS00315	activation	1.000	X276_RS00315_rule_2	high	True
X276_RS26900	X276_RS00315	activation	1.000	X276_RS00315_rule_3	high	True
X276_RS06040	X276_RS00320	activation	1.000	X276_RS00320_rule_1	high	True
X276_RS06040	X276_RS00320	activation	1.000	X276_RS00320_rule_1	high	True
X276_RS06040	X276_RS00320	activation	1.000	X276_RS00320_rule_1	high	True
X276_RS03230	X276_RS00325	activation	1.000	X276_RS00325_rule_1	high	True
X276_RS03230	X276_RS00325	activation	1.000	X276_RS00325_rule_1	high	True
X276_RS03230	X276_RS00325	activation	1.000	X276_RS00325_rule_1	high	True
X276_RS00125	X276_RS00330	activation	1.000	X276_RS00330_rule_1	high	True
X276_RS13795	X276_RS00330	inhibition	1.000	X276_RS00330_rule_1	high	True
X276_RS01265	X276_RS00330	activation	1.000	X276_RS00330_rule_2	high	True
X276_RS13795	X276_RS00330	inhibition	1.000	X276_RS00330_rule_2	high	True
X276_RS13795	X276_RS00330	inhibition	1.000	X276_RS00330_rule_3	high	True
X276_RS08015	X276_RS00330	activation	1.000	X276_RS00330_rule_3	high	True
X276_RS03020	X276_RS00335	activation	0.941	X276_RS00335_rule_1	high	True
X276_RS03020	X276_RS00335	activation	0.941	X276_RS00335_rule_1	high	True
X276_RS03020	X276_RS00335	activation	0.941	X276_RS00335_rule_1	high	True
X276_RS13885	X276_RS00340	activation	1.000	X276_RS00340_rule_1	high	True
X276_RS12390	X276_RS00340	activation	1.000	X276_RS00340_rule_2	high	True
X276_RS01080	X276_RS00340	activation	1.000	X276_RS00340_rule_3	high	True
X276_RS02810	X276_RS00345	activation	0.947	X276_RS00345_rule_1	high	True
X276_RS02735	X276_RS00345	activation	0.947	X276_RS00345_rule_2	high	True
X276_RS02810	X276_RS00345	activation	0.947	X276_RS00345_rule_1	high	True
X276_RS00165	X276_RS00350	activation	0.941	X276_RS00350_rule_1	high	True
X276_RS00165	X276_RS00350	activation	0.941	X276_RS00350_rule_1	high	True
X276_RS00165	X276_RS00350	activation	0.941	X276_RS00350_rule_1	high	True
X276_RS02965	X276_RS00355	activation	1.000	X276_RS00355_rule_1	high	True
X276_RS02970	X276_RS00355	activation	1.000	X276_RS00355_rule_2	high	True
X276_RS01365	X276_RS00355	activation	1.000	X276_RS00355_rule_3	high	True
X276_RS07065	X276_RS00360	activation	1.000	X276_RS00360_rule_1	high	True
X276_RS01635	X276_RS00360	activation	1.000	X276_RS00360_rule_1	high	True
X276_RS07065	X276_RS00360	activation	1.000	X276_RS00360_rule_1	high	True
X276_RS01635	X276_RS00360	activation	1.000	X276_RS00360_rule_1	high	True
X276_RS07065	X276_RS00360	activation	1.000	X276_RS00360_rule_1	high	True
X276_RS01635	X276_RS00360	activation	1.000	X276_RS00360_rule_1	high	True
X276_RS26320	X276_RS00365	activation	0.909	X276_RS00365_rule_1	high	True
X276_RS13730	X276_RS00365	activation	0.909	X276_RS00365_rule_2	high	True
X276_RS26320	X276_RS00365	activation	0.909	X276_RS00365_rule_1	high	True
X276_RS05955	X276_RS00370	inhibition	1.000	X276_RS00370_rule_1	high	True
X276_RS00515	X276_RS00370	activation	1.000	X276_RS00370_rule_1	high	True
X276_RS05955	X276_RS00370	inhibition	1.000	X276_RS00370_rule_2	high	True
X276_RS00485	X276_RS00370	activation	1.000	X276_RS00370_rule_2	high	True
X276_RS05955	X276_RS00370	inhibition	1.000	X276_RS00370_rule_3	high	True
X276_RS06295	X276_RS00370	activation	1.000	X276_RS00370_rule_3	high	True
X276_RS06420	X276_RS00375	activation	1.000	X276_RS00375_rule_1	high	True
X276_RS01995	X276_RS00375	inhibition	1.000	X276_RS00375_rule_1	high	True
X276_RS06420	X276_RS00375	inhibition	1.000	X276_RS00375_rule_2	high	True
X276_RS04975	X276_RS00375	activation	1.000	X276_RS00375_rule_2	high	True
X276_RS06420	X276_RS00375	activation	1.000	X276_RS00375_rule_1	high	True
X276_RS01995	X276_RS00375	inhibition	1.000	X276_RS00375_rule_1	high	True
X276_RS26070	X276_RS00380	activation	1.000	X276_RS00380_rule_1	high	True
X276_RS26070	X276_RS00380	activation	1.000	X276_RS00380_rule_1	high	True
X276_RS26070	X276_RS00380	activation	1.000	X276_RS00380_rule_1	high	True
X276_RS00430	X276_RS00385	activation	1.000	X276_RS00385_rule_1	high	True
X276_RS02835	X276_RS00385	activation	1.000	X276_RS00385_rule_2	high	True
X276_RS02720	X276_RS00385	activation	1.000	X276_RS00385_rule_3	high	True
X276_RS00435	X276_RS00390	activation	1.000	X276_RS00390_rule_1	high	True
X276_RS00435	X276_RS00390	activation	1.000	X276_RS00390_rule_1	high	True
X276_RS00435	X276_RS00390	activation	1.000	X276_RS00390_rule_1	high	True
X276_RS03415	X276_RS00395	activation	1.000	X276_RS00395_rule_1	high	True
X276_RS03415	X276_RS00395	activation	1.000	X276_RS00395_rule_1	high	True
X276_RS03415	X276_RS00395	activation	1.000	X276_RS00395_rule_1	high	True
X276_RS00035	X276_RS00400	activation	1.000	X276_RS00400_rule_1	high	True
X276_RS25840	X276_RS00400	activation	1.000	X276_RS00400_rule_1	high	True
X276_RS00035	X276_RS00400	activation	1.000	X276_RS00400_rule_2	high	True
X276_RS08200	X276_RS00400	activation	1.000	X276_RS00400_rule_2	high	True
X276_RS25840	X276_RS00400	activation	1.000	X276_RS00400_rule_3	high	True
X276_RS01110	X276_RS00400	activation	1.000	X276_RS00400_rule_3	high	True
X276_RS00035	X276_RS00405	activation	0.947	X276_RS00405_rule_1	high	True
X276_RS26185	X276_RS00405	activation	0.947	X276_RS00405_rule_2	high	True
X276_RS07255	X276_RS00405	activation	0.947	X276_RS00405_rule_3	high	True
X276_RS00520	X276_RS00410	activation	1.000	X276_RS00410_rule_1	high	True
X276_RS07005	X276_RS00410	activation	1.000	X276_RS00410_rule_2	high	True
X276_RS00905	X276_RS00410	activation	1.000	X276_RS00410_rule_3	high	True
X276_RS12355	X276_RS00415	activation	1.000	X276_RS00415_rule_1	high	True
X276_RS01825	X276_RS00415	activation	1.000	X276_RS00415_rule_1	high	True
X276_RS07070	X276_RS00415	activation	1.000	X276_RS00415_rule_2	high	True
X276_RS01825	X276_RS00415	activation	1.000	X276_RS00415_rule_2	high	True
X276_RS07390	X276_RS00415	activation	1.000	X276_RS00415_rule_3	high	True
X276_RS01825	X276_RS00415	activation	1.000	X276_RS00415_rule_3	high	True
X276_RS03365	X276_RS00420	activation	0.952	X276_RS00420_rule_1	high	True
X276_RS21990	X276_RS00420	activation	0.952	X276_RS00420_rule_2	high	True
X276_RS25220	X276_RS00420	activation	0.952	X276_RS00420_rule_3	high	True
X276_RS20400	X276_RS00425	inhibition	0.941	X276_RS00425_rule_1	high	True
X276_RS16155	X276_RS00425	activation	0.941	X276_RS00425_rule_1	high	True
X276_RS00705	X276_RS00425	activation	0.941	X276_RS00425_rule_1	high	True
X276_RS20400	X276_RS00425	inhibition	0.941	X276_RS00425_rule_2	high	True
X276_RS16155	X276_RS00425	activation	0.941	X276_RS00425_rule_2	high	True
X276_RS00775	X276_RS00425	activation	0.941	X276_RS00425_rule_2	high	True
X276_RS21905	X276_RS00425	activation	0.941	X276_RS00425_rule_3	high	True
X276_RS20400	X276_RS00425	inhibition	0.941	X276_RS00425_rule_3	high	True
X276_RS16155	X276_RS00425	activation	0.941	X276_RS00425_rule_3	high	True
X276_RS02720	X276_RS00430	activation	1.000	X276_RS00430_rule_1	high	True
X276_RS00385	X276_RS00430	activation	1.000	X276_RS00430_rule_2	high	True
X276_RS02835	X276_RS00430	activation	1.000	X276_RS00430_rule_3	high	True
X276_RS00390	X276_RS00435	activation	1.000	X276_RS00435_rule_1	high	True
X276_RS00390	X276_RS00435	activation	1.000	X276_RS00435_rule_1	high	True
X276_RS00390	X276_RS00435	activation	1.000	X276_RS00435_rule_1	high	True
X276_RS03120	X276_RS00440	activation	1.000	X276_RS00440_rule_1	high	True
X276_RS09320	X276_RS00440	activation	1.000	X276_RS00440_rule_2	high	True
X276_RS27125	X276_RS00440	activation	1.000	X276_RS00440_rule_3	high	True
X276_RS28180	X276_RS00445	activation	1.000	X276_RS00445_rule_1	high	True
X276_RS03460	X276_RS00445	activation	1.000	X276_RS00445_rule_2	high	True
X276_RS07675	X276_RS00445	activation	1.000	X276_RS00445_rule_3	high	True
X276_RS03070	X276_RS00450	activation	1.000	X276_RS00450_rule_1	high	True
X276_RS01450	X276_RS00450	activation	1.000	X276_RS00450_rule_2	high	True
X276_RS01505	X276_RS00450	activation	1.000	X276_RS00450_rule_3	high	True
X276_RS19705	X276_RS00455	activation	1.000	X276_RS00455_rule_1	high	True
X276_RS27100	X276_RS00455	activation	1.000	X276_RS00455_rule_2	high	True
X276_RS01175	X276_RS00455	activation	1.000	X276_RS00455_rule_3	high	True
X276_RS01085	X276_RS00460	activation	1.000	X276_RS00460_rule_1	high	True
X276_RS01070	X276_RS00460	activation	1.000	X276_RS00460_rule_2	high	True
X276_RS01085	X276_RS00460	activation	1.000	X276_RS00460_rule_1	high	True
X276_RS00170	X276_RS00465	activation	1.000	X276_RS00465_rule_1	high	True
X276_RS26930	X276_RS00465	activation	1.000	X276_RS00465_rule_2	high	True
X276_RS26310	X276_RS00465	activation	1.000	X276_RS00465_rule_3	high	True
X276_RS15695	X276_RS00470	activation	0.889	X276_RS00470_rule_1	high	True
X276_RS15695	X276_RS00470	activation	0.889	X276_RS00470_rule_1	high	True
X276_RS15695	X276_RS00470	activation	0.947	X276_RS00470_rule_3	high	True
X276_RS26075	X276_RS00470	inhibition	0.947	X276_RS00470_rule_3	high	True
X276_RS00115	X276_RS00475	activation	1.000	X276_RS00475_rule_1	high	True
X276_RS08725	X276_RS00475	activation	1.000	X276_RS00475_rule_2	high	True
X276_RS00510	X276_RS00475	activation	1.000	X276_RS00475_rule_3	high	True
X276_RS01260	X276_RS00480	activation	1.000	X276_RS00480_rule_1	high	True
X276_RS16505	X276_RS00480	inhibition	1.000	X276_RS00480_rule_1	high	True
X276_RS01260	X276_RS00480	inhibition	1.000	X276_RS00480_rule_2	high	True
X276_RS24820	X276_RS00480	activation	1.000	X276_RS00480_rule_2	high	True
X276_RS28265	X276_RS00480	activation	1.000	X276_RS00480_rule_3	high	True
X276_RS16505	X276_RS00480	inhibition	1.000	X276_RS00480_rule_3	high	True
X276_RS00495	X276_RS00485	activation	1.000	X276_RS00485_rule_1	high	True
X276_RS00495	X276_RS00485	activation	1.000	X276_RS00485_rule_1	high	True
X276_RS00495	X276_RS00485	activation	1.000	X276_RS00485_rule_1	high	True
X276_RS01355	X276_RS00490	activation	0.947	X276_RS00490_rule_1	high	True
X276_RS01355	X276_RS00490	activation	0.947	X276_RS00490_rule_1	high	True
X276_RS01355	X276_RS00490	activation	0.947	X276_RS00490_rule_1	high	True
X276_RS00485	X276_RS00495	activation	1.000	X276_RS00495_rule_1	high	True
X276_RS00485	X276_RS00495	activation	1.000	X276_RS00495_rule_1	high	True
X276_RS00485	X276_RS00495	activation	1.000	X276_RS00495_rule_1	high	True
X276_RS00670	X276_RS00500	activation	1.000	X276_RS00500_rule_1	high	True
X276_RS00750	X276_RS00500	activation	1.000	X276_RS00500_rule_1	high	True
X276_RS00670	X276_RS00500	activation	1.000	X276_RS00500_rule_2	high	True
X276_RS05430	X276_RS00500	activation	1.000	X276_RS00500_rule_2	high	True
X276_RS00670	X276_RS00500	activation	1.000	X276_RS00500_rule_1	high	True
X276_RS00750	X276_RS00500	activation	1.000	X276_RS00500_rule_1	high	True
X276_RS26320	X276_RS00505	activation	1.000	X276_RS00505_rule_1	high	True
X276_RS03325	X276_RS00505	activation	1.000	X276_RS00505_rule_1	high	True
X276_RS02980	X276_RS00505	activation	1.000	X276_RS00505_rule_2	high	True
X276_RS26320	X276_RS00505	activation	1.000	X276_RS00505_rule_2	high	True
